"N1H1_Pool_1"	"N1H1_Pool_2"	"N1H1_Pool_3"	"P1A8_Pool_1"	"P1A8_Pool_2"	"P1A8_Pool_3"
"ENSG00000003147"	9.53243742894612	8.58295274662601	7.87789063901683	11.7226420292632	10.721928161584	12.5750649163072
"ENSG00000003249"	23.4214966515903	23.9397064354422	22.8540889892311	26.6155583180127	24.5437335127417	25.306536112668
"ENSG00000003393"	95.2871382057544	96.5161451017651	98.145387544418	83.5699040262255	90.8811053696171	90.9346112231469
"ENSG00000003400"	11.7293663676486	13.673821777713	13.9094006595141	23.1135111709058	26.3307215396724	23.335816983993
"ENSG00000003402"	109.531057306125	117.448872945044	118.617235228955	124.922814012348	136.831496679252	132.885903659116
"ENSG00000003436"	519.741256379805	486.114882522142	539.55344741183	534.633576573599	538.758655547894	563.563108289032
"ENSG00000003509"	14.2215774501461	14.1004450171777	14.4112058809473	18.4683221076748	16.9475756325501	15.4304179649652
"ENSG00000003756"	169.451735567978	247.949724326648	178.58562618445	135.81418063985	145.827340283395	119.552581097109
"ENSG00000003987"	2.08522068758196	1.34634552888251	1.88741129893111	1.71268537320619	2.0524833909318	2.24349168108844
"ENSG00000003989"	66.8387702537433	47.6690463819964	71.8857520810285	8.07314026543599	10.8313355918043	12.5750649163072
"ENSG00000004059"	87.2385587125251	84.1045222573794	84.3557964717056	84.8601319225281	83.0646738632487	88.5165701335187
"ENSG00000004139"	4.01553926694355	5.36476619961903	3.95946065971419	13.0121326524822	11.1956623344377	8.83007294670447
"ENSG00000004142"	93.8334414978401	81.9036680506343	91.7749641037213	102.837798793066	101.285387292128	99.810354803627
"ENSG00000004399"	21.9692893870243	27.2214236620933	22.9771810304657	133.962519290385	146.897709642383	130.693087612765
"ENSG00000004455"	271.115553108525	318.578169305869	250.56123545558	222.841158155083	220.587625501493	202.545819856816
"ENSG00000004468"	0.0744721674136416	0.0420732977775785	0.20515340205773	1.99063732572394	2.66224746869263	3.4722194171893
"ENSG00000004478"	106.942032405989	108.085460524644	101.263719255695	88.9519975365162	83.2590543976066	81.393828139879
"ENSG00000004487"	107.090976740817	103.794825617286	108.444088327716	119.032739347456	115.424838882359	116.679084919965
"ENSG00000004534"	161.48544781974	235.61046755444	174.503483790305	128.337494299048	135.793220166462	112.437033792352
"ENSG00000004660"	28.0387710312361	28.0628896176449	30.4857955457787	5.41895716447073	5.7256555148595	4.81731342565002
"ENSG00000004700"	173.620687499793	156.503411607081	166.668265058916	157.08192864596	162.801903082066	170.807857508345
"ENSG00000004766"	37.2733197905276	37.234868533157	33.2758818137638	35.7577445546708	35.6303531083932	39.5082263415323
"ENSG00000004777"	10.0165065171348	18.1756646399139	10.2576701028865	10.9853689456618	10.2842984407031	7.28853265049647
"ENSG00000004779"	55.7424173091107	48.6788055286583	43.0001530713002	45.41602194985	34.062179941903	44.9824461434074
"ENSG00000004799"	0.111708251120462	0.0420732977775785	0.041030680411546	3.39145618456672	3.42809948023435	2.90915680899644
"ENSG00000004838"	3.947024872923	4.29147637331301	3.5696691958045	3.17027425948628	3.06340804616687	2.50250048085716
"ENSG00000004864"	41.7788859190529	41.6104915020251	43.5745825970618	63.8847126940665	67.5043844458913	70.1325759760218
"ENSG00000004866"	33.344912959458	32.470488292824	33.2323892925275	25.5505673487504	27.1137140486153	29.9336595017729
"ENSG00000004897"	133.081763168178	114.733883039457	128.343968327316	150.956663867399	154.847982905054	163.010378822554
